pedido,lote,fecha,dia_semana,franja,es_finde,tipo_entrega,metodo_pago,rubro_principal,productos,unidades,total,demora_prometida,demora_real,diferencia,cumplio
LP-260807-S02,S,2026-08-07,Viernes,Almuerzo,Sí,Retiro en local,Mercado Pago,Carnes y pescados,4,5,88760,30,44,14,No
LP-260808-001,R,2026-08-08,Sábado,Madrugada,Sí,Delivery,Efectivo,Empanadas,4,12,42300,50,33,-17,Sí
LP-260808-002,R,2026-08-08,Sábado,Madrugada,Sí,Retiro en local,Efectivo,Empanadas,1,4,15200,30,31,1,No
LP-260808-S03,S,2026-08-08,Sábado,Almuerzo,Sí,Delivery,Efectivo,Ensaladas,2,3,30000,50,64,14,No
LP-260808-S05,S,2026-08-08,Sábado,Almuerzo,Sí,Retiro en local,Mercado Pago,Pastas,2,2,42200,30,39,9,No
LP-260808-S02,S,2026-08-08,Sábado,Cena,Sí,Delivery,Efectivo,Pizzas artesanales,4,6,76600,50,66,16,No
LP-260808-S01,S,2026-08-08,Sábado,Cena,Sí,Delivery,Mercado Pago,Hamburguesas,2,8,46920,50,66,16,No
LP-260808-S04,S,2026-08-08,Sábado,Cena,Sí,Retiro en local,Efectivo,Carnes y pescados,2,5,52500,30,36,6,No
LP-260809-S02,S,2026-08-09,Domingo,Desayuno,Sí,Delivery,Efectivo,Desayuno y merienda,4,6,34000,50,51,1,No
LP-260809-S01,S,2026-08-09,Domingo,Cena,Sí,Retiro en local,Mercado Pago,Carnes y pescados,2,4,63180,30,40,10,No
LP-260809-S03,S,2026-08-09,Domingo,Cena,Sí,Delivery,Efectivo,Vinos y cervezas,1,1,24000,50,66,16,No
LP-260810-001,R,2026-08-10,Lunes,Merienda,No,Retiro en local,Efectivo,Ensaladas,1,2,34200,30,41,11,No
LP-260811-S02,S,2026-08-11,Martes,Desayuno,No,Retiro en local,Efectivo,Sándwiches,2,2,21960,30,34,4,No
LP-260811-001,R,2026-08-11,Martes,Merienda,No,Retiro en local,Efectivo,Carnes y pescados,3,3,62500,30,57,27,No
LP-260811-S01,S,2026-08-11,Martes,Merienda,No,Delivery,Mercado Pago,Tortas,1,1,9000,50,66,16,No
LP-260812-003,R,2026-08-12,Miércoles,Madrugada,No,Delivery,Efectivo,Empanadas,2,6,22800,50,43,-7,Sí
LP-260812-004,R,2026-08-12,Miércoles,Madrugada,No,Delivery,Efectivo,Pizzas artesanales,2,3,43000,50,53,3,No
LP-260812-S01,S,2026-08-12,Miércoles,Cena,No,Delivery,Efectivo,Pastas,2,2,26000,50,54,4,No
LP-260812-002,R,2026-08-12,Miércoles,Cena,No,Delivery,Efectivo,Empanadas,2,14,77400,50,35,-15,Sí
LP-260813-002,R,2026-08-13,Jueves,Madrugada,No,Delivery,Efectivo,Carnes y pescados,2,3,55900,50,43,-7,Sí
LP-260813-003,R,2026-08-13,Jueves,Madrugada,No,Delivery,Efectivo,Entradas,4,4,78600,50,49,-1,Sí
LP-260813-004,R,2026-08-13,Jueves,Madrugada,No,Delivery,Efectivo,Pastas,1,1,21600,50,40,-10,Sí
LP-260813-S02,S,2026-08-13,Jueves,Desayuno,No,Delivery,Efectivo,Desayuno y merienda,2,2,13200,50,57,7,No
LP-260813-S01,S,2026-08-13,Jueves,Almuerzo,No,Retiro en local,Efectivo,Carnes y pescados,4,4,69900,30,31,1,No
LP-260813-001,R,2026-08-13,Jueves,Merienda,No,Delivery,Efectivo,Carnes y pescados,1,1,18500,50,63,13,No
LP-260814-001,R,2026-08-14,Viernes,Madrugada,Sí,Retiro en local,Efectivo,Carnes y pescados,2,3,67600,30,54,24,No
LP-260814-002,R,2026-08-14,Viernes,Madrugada,Sí,Delivery,Efectivo,Empanadas,4,13,46000,50,137,87,No
LP-260814-S03,S,2026-08-14,Viernes,Almuerzo,Sí,Retiro en local,Mercado Pago,Hamburguesas,3,4,78900,30,35,5,No
LP-260814-S01,S,2026-08-14,Viernes,Merienda,Sí,Delivery,Efectivo,Tortas,1,1,9000,50,54,4,No
LP-260814-S02,S,2026-08-14,Viernes,Cena,Sí,Retiro en local,Efectivo,Empanadas,1,3,10200,30,40,10,No
LP-260815-002,R,2026-08-15,Sábado,Madrugada,Sí,Retiro en local,Efectivo,Pizzas artesanales,1,1,27600,30,35,5,No
LP-260815-S05,S,2026-08-15,Sábado,Desayuno,Sí,Delivery,Mercado Pago,Cafetería,2,2,12400,50,48,-2,Sí
LP-260815-001,R,2026-08-15,Sábado,Merienda,Sí,Delivery,Efectivo,Entradas,1,1,14500,50,39,-11,Sí
LP-260815-S03,S,2026-08-15,Sábado,Cena,Sí,Retiro en local,Mercado Pago,Entradas,3,3,31800,30,40,10,No
LP-260815-S04,S,2026-08-15,Sábado,Cena,Sí,Delivery,Efectivo,Pizzas artesanales,2,3,69300,50,50,0,Sí
LP-260815-S01,S,2026-08-15,Sábado,Cena,Sí,Retiro en local,Mercado Pago,Pastas,3,8,69500,30,44,14,No
LP-260815-S02,S,2026-08-15,Sábado,Cena,Sí,Delivery,Efectivo,Carnes y pescados,2,14,84800,50,47,-3,Sí
LP-260816-S01,S,2026-08-16,Domingo,Merienda,Sí,Delivery,Efectivo,Hora dulce,2,2,16800,50,70,20,No
LP-260816-S02,S,2026-08-16,Domingo,Cena,Sí,Retiro en local,Efectivo,Pizzas artesanales,2,2,44800,30,60,30,No
LP-260817-002,R,2026-08-17,Lunes,Madrugada,No,Delivery,Efectivo,Carnes y pescados,1,2,37000,50,30,-20,Sí
LP-260817-003,R,2026-08-17,Lunes,Madrugada,No,Delivery,Efectivo,Carnes y pescados,1,2,37000,50,43,-7,Sí
LP-260817-001,R,2026-08-17,Lunes,Merienda,No,Delivery,Efectivo,Pastas,1,1,19700,50,51,1,No
LP-260818-S01,S,2026-08-18,Martes,Desayuno,No,Delivery,Mercado Pago,Cafetería,1,1,6900,50,52,2,No
LP-260818-001,R,2026-08-18,Martes,Merienda,No,Delivery,Efectivo,Carnes y pescados,1,1,21000,50,33,-17,Sí
LP-260819-S01,S,2026-08-19,Miércoles,Desayuno,No,Retiro en local,Efectivo,Cafetería,1,1,6600,30,39,9,No
LP-260819-S02,S,2026-08-19,Miércoles,Almuerzo,No,Delivery,Mercado Pago,Hamburguesas,2,4,42000,50,40,-10,Sí
LP-260819-S05,S,2026-08-19,Miércoles,Almuerzo,No,Delivery,Mercado Pago,Pastas,4,18,188400,50,52,2,No
LP-260819-S03,S,2026-08-19,Miércoles,Merienda,No,Retiro en local,Mercado Pago,Cafetería,1,1,5940,30,45,15,No
LP-260819-001,R,2026-08-19,Miércoles,Cena,No,Delivery,Efectivo,Carnes y pescados,1,1,21000,50,58,8,No
LP-260819-S04,S,2026-08-19,Miércoles,Cena,No,Delivery,Mercado Pago,Pizzas artesanales,1,2,65600,50,37,-13,Sí
LP-260820-002,R,2026-08-20,Jueves,Madrugada,No,Delivery,Efectivo,Carnes y pescados,1,1,18500,50,36,-14,Sí
LP-260820-003,R,2026-08-20,Jueves,Madrugada,No,Delivery,Efectivo,Pastas,2,2,38900,50,40,-10,Sí
LP-260820-S01,S,2026-08-20,Jueves,Desayuno,No,Retiro en local,Mercado Pago,Desayuno y merienda,1,2,26000,30,27,-3,Sí
LP-260820-S02,S,2026-08-20,Jueves,Cena,No,Delivery,Mercado Pago,Calzones,4,4,115400,50,35,-15,Sí
LP-260821-S03,S,2026-08-21,Viernes,Almuerzo,Sí,Delivery,Mercado Pago,Hamburguesas,2,2,22600,50,65,15,No
LP-260821-S04,S,2026-08-21,Viernes,Almuerzo,Sí,Delivery,Efectivo,Bebidas,2,4,19900,50,60,10,No
LP-260821-S02,S,2026-08-21,Viernes,Cena,Sí,Delivery,Mercado Pago,Vinos y cervezas,2,3,90500,50,53,3,No
LP-260822-002,R,2026-08-22,Sábado,Madrugada,Sí,Retiro en local,Efectivo,Pizzas artesanales,2,2,39200,30,26,-4,Sí
LP-260822-S01,S,2026-08-22,Sábado,Almuerzo,Sí,Delivery,Mercado Pago,Sándwiches,2,2,15200,50,31,-19,Sí
LP-260822-S03,S,2026-08-22,Sábado,Merienda,Sí,Retiro en local,Efectivo,Desayuno y merienda,2,2,9990,30,34,4,No
LP-260822-S02,S,2026-08-22,Sábado,Cena,Sí,Delivery,Mercado Pago,Empanadas,1,12,45600,50,45,-5,Sí
LP-260823-001,R,2026-08-23,Domingo,Madrugada,Sí,Delivery,Efectivo,Pizzas artesanales,2,2,31300,50,63,13,No
LP-260823-S05,S,2026-08-23,Domingo,Desayuno,Sí,Delivery,Mercado Pago,Panadería y dulces,4,6,36300,50,56,6,No
LP-260823-S01,S,2026-08-23,Domingo,Almuerzo,Sí,Delivery,Efectivo,Carnes y pescados,4,5,76400,50,28,-22,Sí
LP-260823-S04,S,2026-08-23,Domingo,Cena,Sí,Delivery,Efectivo,Tablas,2,2,18300,50,51,1,No
LP-260823-S03,S,2026-08-23,Domingo,Cena,Sí,Delivery,Efectivo,Carnes y pescados,1,2,57000,50,33,-17,Sí
LP-260824-S01,S,2026-08-24,Lunes,Cena,No,Retiro en local,Efectivo,Vinos y cervezas,1,1,28000,30,25,-5,Sí
LP-260826-S02,S,2026-08-26,Miércoles,Desayuno,No,Delivery,Efectivo,Cafetería,1,2,9690,50,56,6,No
LP-260826-S03,S,2026-08-26,Miércoles,Almuerzo,No,Retiro en local,Efectivo,Carnes y pescados,1,1,27800,30,31,1,No
LP-260826-001,R,2026-08-26,Miércoles,Merienda,No,Delivery,Efectivo,Pizzas artesanales,3,3,101000,50,53,3,No
LP-260826-S04,S,2026-08-26,Miércoles,Cena,No,Delivery,Mercado Pago,Vinos y cervezas,2,2,39610,50,43,-7,Sí
LP-260827-002,R,2026-08-27,Jueves,Madrugada,No,Delivery,Efectivo,Carnes y pescados,1,3,55500,50,35,-15,Sí
LP-260827-003,R,2026-08-27,Jueves,Madrugada,No,Delivery,Efectivo,Carnes y pescados,5,5,104200,50,49,-1,Sí
LP-260827-004,R,2026-08-27,Jueves,Madrugada,No,Delivery,Efectivo,Empanadas,4,8,28800,50,55,5,No
LP-260827-001,R,2026-08-27,Jueves,Merienda,No,Delivery,Efectivo,Empanadas,1,2,6800,50,78,28,No
LP-260827-S01,S,2026-08-27,Jueves,Cena,No,Delivery,Efectivo,Pastas,1,1,19600,50,68,18,No
LP-260828-S01,S,2026-08-28,Viernes,Almuerzo,Sí,Delivery,Mercado Pago,Carnes y pescados,1,1,19800,50,31,-19,Sí
LP-260828-S02,S,2026-08-28,Viernes,Almuerzo,Sí,Delivery,Efectivo,Carnes y pescados,3,5,128200,50,41,-9,Sí
LP-260829-002,R,2026-08-29,Sábado,Madrugada,Sí,Delivery,Efectivo,Pizzas artesanales,1,1,37600,50,42,-8,Sí
LP-260829-003,R,2026-08-29,Sábado,Madrugada,Sí,Delivery,Efectivo,Carnes y pescados,1,2,37000,50,33,-17,Sí
LP-260829-S02,S,2026-08-29,Sábado,Almuerzo,Sí,Delivery,Mercado Pago,Pastas,2,2,23800,50,50,0,Sí
LP-260829-S01,S,2026-08-29,Sábado,Almuerzo,Sí,Delivery,Mercado Pago,Ensaladas,2,2,19600,50,35,-15,Sí
LP-260829-S04,S,2026-08-29,Sábado,Merienda,Sí,Delivery,Mercado Pago,Tortas,2,2,20000,50,47,-3,Sí
LP-260829-S03,S,2026-08-29,Sábado,Cena,Sí,Delivery,Efectivo,Pizzas artesanales,2,2,76400,50,50,0,Sí
LP-260829-S05,S,2026-08-29,Sábado,Cena,Sí,Delivery,Mercado Pago,Pizzas artesanales,3,3,74900,50,43,-7,Sí
LP-260830-001,R,2026-08-30,Domingo,Madrugada,Sí,Delivery,Efectivo,Pizzas artesanales,3,3,58900,50,34,-16,Sí
LP-260830-002,R,2026-08-30,Domingo,Madrugada,Sí,Retiro en local,Efectivo,Empanadas,2,7,25400,30,67,37,No
LP-260830-S04,S,2026-08-30,Domingo,Almuerzo,Sí,Delivery,Efectivo,Pastas,1,1,19800,50,40,-10,Sí
LP-260830-S03,S,2026-08-30,Domingo,Almuerzo,Sí,Delivery,Efectivo,Pastas,3,4,49700,50,30,-20,Sí
LP-260830-S02,S,2026-08-30,Domingo,Cena,Sí,Delivery,Mercado Pago,Carnes y pescados,2,3,86700,50,49,-1,Sí
LP-260830-S01,S,2026-08-30,Domingo,Cena,Sí,Delivery,Efectivo,Pizzas artesanales,4,4,93000,50,57,7,No
LP-260831-001,R,2026-08-31,Lunes,Madrugada,No,Retiro en local,Efectivo,Carnes y pescados,1,1,21000,30,37,7,No
LP-260831-S01,S,2026-08-31,Lunes,Almuerzo,No,Delivery,Mercado Pago,Carnes y pescados,2,2,32000,50,35,-15,Sí
LP-260901-002,R,2026-09-01,Martes,Madrugada,No,Delivery,Efectivo,Carnes y pescados,2,2,42600,50,38,-12,Sí
LP-260901-003,R,2026-09-01,Martes,Madrugada,No,Delivery,Efectivo,Carnes y pescados,1,1,19800,50,32,-18,Sí
LP-260901-S01,S,2026-09-01,Martes,Almuerzo,No,Delivery,Efectivo,Ensaladas,2,2,25200,50,41,-9,Sí
LP-260901-001,R,2026-09-01,Martes,Merienda,No,Delivery,Efectivo,Carnes y pescados,2,2,52000,50,53,3,No
LP-260901-S02,S,2026-09-01,Martes,Cena,No,Retiro en local,Efectivo,Carnes y pescados,4,10,67600,30,34,4,No
LP-260901-S03,S,2026-09-01,Martes,Cena,No,Delivery,Mercado Pago,Carnes y pescados,2,7,55200,50,40,-10,Sí
LP-260902-S01,S,2026-09-02,Miércoles,Desayuno,No,Delivery,Efectivo,Cafetería,3,5,33500,50,45,-5,Sí
LP-260903-001,R,2026-09-03,Jueves,Madrugada,No,Delivery,Efectivo,Entradas,1,2,29000,50,28,-22,Sí
LP-260903-002,R,2026-09-03,Jueves,Madrugada,No,Delivery,Efectivo,Pastas,2,2,38900,50,30,-20,Sí
LP-260903-S04,S,2026-09-03,Jueves,Desayuno,No,Retiro en local,Mercado Pago,Desayuno y merienda,2,4,40600,30,30,0,Sí
LP-260903-S01,S,2026-09-03,Jueves,Desayuno,No,Retiro en local,Efectivo,Cafetería,3,4,24200,30,25,-5,Sí
LP-260903-S02,S,2026-09-03,Jueves,Almuerzo,No,Retiro en local,Efectivo,Pastas,1,1,19600,30,36,6,No
LP-260903-S03,S,2026-09-03,Jueves,Cena,No,Delivery,Mercado Pago,Entradas,1,2,31100,50,65,15,No
LP-260904-001,R,2026-09-04,Viernes,Madrugada,Sí,Delivery,Efectivo,Empanadas,6,10,36400,50,41,-9,Sí
LP-260904-002,R,2026-09-04,Viernes,Madrugada,Sí,Delivery,Efectivo,Pastas,2,2,40600,50,39,-11,Sí
LP-260904-S04,S,2026-09-04,Viernes,Desayuno,Sí,Retiro en local,Efectivo,Desayuno y merienda,2,2,17500,30,43,13,No
LP-260904-S05,S,2026-09-04,Viernes,Almuerzo,Sí,Retiro en local,Efectivo,Ensaladas,3,5,77100,30,44,14,No
LP-260904-S01,S,2026-09-04,Viernes,Merienda,Sí,Delivery,Mercado Pago,Tortas,1,1,9700,50,59,9,No
LP-260904-S02,S,2026-09-04,Viernes,Merienda,Sí,Delivery,Efectivo,Panadería y dulces,3,4,22000,50,42,-8,Sí
LP-260904-S06,S,2026-09-04,Viernes,Cena,Sí,Retiro en local,Mercado Pago,Carnes y pescados,1,1,28500,30,34,4,No
LP-260904-S03,S,2026-09-04,Viernes,Cena,Sí,Delivery,Mercado Pago,Pizzas artesanales,3,5,56525,50,42,-8,Sí
LP-260905-002,R,2026-09-05,Sábado,Madrugada,Sí,Delivery,Efectivo,Pizzas artesanales,1,1,22600,50,26,-24,Sí
LP-260905-003,R,2026-09-05,Sábado,Madrugada,Sí,Delivery,Efectivo,Empanadas,3,15,55400,50,27,-23,Sí
LP-260905-004,R,2026-09-05,Sábado,Madrugada,Sí,Delivery,Efectivo,Entradas,1,1,10600,50,34,-16,Sí
LP-260905-S01,S,2026-09-05,Sábado,Desayuno,Sí,Delivery,Efectivo,Panadería y dulces,4,5,35100,50,83,33,No
LP-260905-001,R,2026-09-05,Sábado,Merienda,Sí,Delivery,Efectivo,Sándwiches,2,2,31400,50,46,-4,Sí
