pedido,lote,fecha,hora,franja,dia_semana,tipo_entrega,codigo,producto,rubro,cantidad,precio_unitario,modificadores,extra_modificadores,total_renglon
LP-260802-S06,S,2026-08-02,19,Merienda,Domingo,Retiro en local,1620,Percanta,Cafetería,1,6600,,0,6600
LP-260803-S01,S,2026-08-03,22,Cena,Lunes,Delivery,0404,Empanada de Jamón y Queso,Empanadas,6,3400,,0,20400
LP-260803-S01,S,2026-08-03,22,Cena,Lunes,Delivery,0902,Mex-Burger,Hamburguesas,1,17200,Formato: Pan Sin Gluten,0,17200
LP-260803-S02,S,2026-08-03,8,Desayuno,Lunes,Retiro en local,1210,Percanta (para compartir),Desayuno y merienda,1,28000,,0,28000
LP-260804-001,R,2026-08-04,2,Madrugada,Martes,Delivery,1703,Agua Mineral Sin Gas (Villavicencio),Bebidas,2,4200,,0,8400
LP-260804-001,R,2026-08-04,2,Madrugada,Martes,Delivery,0811,Pollo Grille,Carnes y pescados,1,18500,Guarnición: Puré de papa,0,18500
LP-260804-001,R,2026-08-04,2,Madrugada,Martes,Delivery,0822,Risotto Pollo,Carnes y pescados,1,23000,,0,23000
LP-260805-S01,S,2026-08-05,20,Cena,Miércoles,Delivery,0201,Bruschetta Tradicional,Entradas,1,13800,,0,13800
LP-260805-S01,S,2026-08-05,20,Cena,Miércoles,Delivery,1719,Licuado (banana o durazno o frutilla o ananá o naranja),Bebidas,1,7000,,0,7000
LP-260805-S02,S,2026-08-05,10,Desayuno,Miércoles,Retiro en local,1322,Scons,Panadería y dulces,1,5600,,0,5600
LP-260806-S01,S,2026-08-06,20,Cena,Jueves,Delivery,0408,Empanada de Roquefort,Empanadas,12,3400,,0,40800
LP-260806-S01,S,2026-08-06,20,Cena,Jueves,Delivery,0520,Pizza Sorrentina,Pizzas artesanales,1,27500,Tamaño: 8 porciones,8300,35800
LP-260807-001,R,2026-08-07,2,Madrugada,Viernes,Delivery,0903,Patagonia Burger,Hamburguesas,1,17400,Formato: Con pan clásico,0,17400
LP-260807-002,R,2026-08-07,2,Madrugada,Viernes,Retiro en local,0814,Suprema de Pollo,Carnes y pescados,1,19800,Guarnición: Papas fritas,0,19800
LP-260807-002,R,2026-08-07,2,Madrugada,Viernes,Retiro en local,0804,Milanesa de Ternera,Carnes y pescados,1,21000,"¿A la napolitana?: Sí, napolitana + Guarnición: Papas fritas",600,21600
LP-260807-S01,S,2026-08-07,12,Almuerzo,Viernes,Delivery,0209,Papas Fritas (Provenzal o regular),Entradas,1,10600,Preparación: Provenzal,0,10600
LP-260807-S01,S,2026-08-07,12,Almuerzo,Viernes,Delivery,1002,Sándwiches de Miga Especiales de Jamón y/o Queso (x3),Sándwiches,1,9500,,0,9500
LP-260807-S01,S,2026-08-07,12,Almuerzo,Viernes,Delivery,0811,Pollo Grille,Carnes y pescados,1,18500,Corte: Patamuslo + Guarnición: Puré de calabaza,0,18500
LP-260807-S02,S,2026-08-07,14,Almuerzo,Viernes,Retiro en local,0906,Doble Burger,Hamburguesas,1,20800,Formato: Con pan clásico,0,20800
LP-260807-S02,S,2026-08-07,14,Almuerzo,Viernes,Retiro en local,0904,Veggie-Burger,Hamburguesas,1,16800,Formato: Al plato,0,16800
LP-260807-S02,S,2026-08-07,14,Almuerzo,Viernes,Retiro en local,0819,Pollo al Curry,Carnes y pescados,2,25800,Acompañamiento: Fideos de arroz,0,51600
LP-260807-S02,S,2026-08-07,14,Almuerzo,Viernes,Retiro en local,1714,Tónica Schweppes,Bebidas,1,4200,,0,4200
LP-260808-001,R,2026-08-08,2,Madrugada,Sábado,Delivery,0405,Empanada de Verdura,Empanadas,1,3400,,0,3400
LP-260808-001,R,2026-08-08,2,Madrugada,Sábado,Delivery,0404,Empanada de Jamón y Queso,Empanadas,5,3400,,0,17000
LP-260808-001,R,2026-08-08,2,Madrugada,Sábado,Delivery,0403,Empanada de Pollo,Empanadas,3,3500,,0,10500
LP-260808-001,R,2026-08-08,2,Madrugada,Sábado,Delivery,0401,Empanada de Carne Suave,Empanadas,3,3800,,0,11400
LP-260808-002,R,2026-08-08,2,Madrugada,Sábado,Retiro en local,0401,Empanada de Carne Suave,Empanadas,4,3800,,0,15200
LP-260808-S01,S,2026-08-08,21,Cena,Sábado,Delivery,0406,Empanada Caprese,Empanadas,6,3400,,0,20400
LP-260808-S01,S,2026-08-08,21,Cena,Sábado,Delivery,0903,Patagonia Burger,Hamburguesas,2,17400,Formato: Al plato,0,34800
LP-260808-S02,S,2026-08-08,20,Cena,Sábado,Delivery,1844,Trumpeter Cabernet Sauvignon,Vinos y cervezas,1,21500,,0,21500
LP-260808-S02,S,2026-08-08,20,Cena,Sábado,Delivery,0407,Empanada de Choclo,Empanadas,3,3400,,0,10200
LP-260808-S02,S,2026-08-08,20,Cena,Sábado,Delivery,0524,Pizza Fugazzeta rellena,Pizzas artesanales,1,34100,Tamaño: 8 porciones,4800,38900
LP-260808-S02,S,2026-08-08,20,Cena,Sábado,Delivery,1723,Limonada,Bebidas,1,6000,,0,6000
LP-260808-S03,S,2026-08-08,13,Almuerzo,Sábado,Delivery,1111,Carpaccio de Lomo,Ensaladas,1,17200,,0,17200
LP-260808-S03,S,2026-08-08,13,Almuerzo,Sábado,Delivery,1724,Limonada con Menta y Jengibre,Bebidas,2,6400,,0,12800
LP-260808-S04,S,2026-08-08,22,Cena,Sábado,Retiro en local,0403,Empanada de Pollo,Empanadas,3,3500,,0,10500
LP-260808-S04,S,2026-08-08,22,Cena,Sábado,Retiro en local,0823,Risotto de Vegetales,Carnes y pescados,2,21000,,0,42000
LP-260808-S05,S,2026-08-08,14,Almuerzo,Sábado,Retiro en local,0703,Gnocchi rellenos,Pastas,1,14200,Salsa: Parisien,8200,22400
LP-260808-S05,S,2026-08-08,14,Almuerzo,Sábado,Retiro en local,0701,Tallarín casero,Pastas,1,13600,Salsa: Crema de Nuez,6200,19800
LP-260809-001,R,2026-08-09,2,Madrugada,Domingo,Retiro en local,0501,Pizza Mozzarella,Pizzas artesanales,1,22600,Tamaño: 6 porciones,0,22600
LP-260809-002,R,2026-08-09,2,Madrugada,Domingo,Retiro en local,0409,Empanada de Queso y Cebolla,Empanadas,3,3400,,0,10200
LP-260809-002,R,2026-08-09,2,Madrugada,Domingo,Retiro en local,0404,Empanada de Jamón y Queso,Empanadas,2,3400,,0,6800
LP-260809-002,R,2026-08-09,2,Madrugada,Domingo,Retiro en local,0405,Empanada de Verdura,Empanadas,2,3400,,0,6800
LP-260809-002,R,2026-08-09,2,Madrugada,Domingo,Retiro en local,0401,Empanada de Carne Suave,Empanadas,5,3800,,0,19000
LP-260809-S01,S,2026-08-09,23,Cena,Domingo,Retiro en local,0816,Merluza,Carnes y pescados,3,22000,,0,66000
LP-260809-S01,S,2026-08-09,23,Cena,Domingo,Retiro en local,1708,Coca-Cola Light,Bebidas,1,4200,,0,4200
LP-260809-S02,S,2026-08-09,10,Desayuno,Domingo,Delivery,1608,Café con Leche en Tazón,Cafetería,2,5300,,0,10600
LP-260809-S02,S,2026-08-09,10,Desayuno,Domingo,Delivery,1317,Medialuna de jamón y queso,Panadería y dulces,1,5600,,0,5600
LP-260809-S02,S,2026-08-09,10,Desayuno,Domingo,Delivery,1207,Detox (Licuado),Desayuno y merienda,1,7600,,0,7600
LP-260809-S02,S,2026-08-09,10,Desayuno,Domingo,Delivery,1201,Yogurt con cereales Frutos Rojos,Desayuno y merienda,2,5100,,0,10200
LP-260809-S03,S,2026-08-09,23,Cena,Domingo,Delivery,1839,Alamos Chardonnay,Vinos y cervezas,1,24000,,0,24000
LP-260810-001,R,2026-08-10,18,Merienda,Lunes,Retiro en local,1114,Caesar con Pollo,Ensaladas,2,17100,,0,34200
LP-260811-001,R,2026-08-11,19,Merienda,Martes,Retiro en local,0813,Pollo al Verdeo,Carnes y pescados,1,23000,Guarnición: Papas fritas,0,23000
LP-260811-001,R,2026-08-11,19,Merienda,Martes,Retiro en local,0811,Pollo Grille,Carnes y pescados,1,18500,Guarnición: Papas fritas,0,18500
LP-260811-001,R,2026-08-11,19,Merienda,Martes,Retiro en local,0706,Sorrentino (Jamón y Mozzarella),Pastas,1,14800,Salsa: Funghi,6200,21000
LP-260811-S01,S,2026-08-11,19,Merienda,Martes,Delivery,1404,Rogel de Dulce de Leche,Tortas,1,8600,,0,8600
LP-260811-S02,S,2026-08-11,8,Desayuno,Martes,Retiro en local,1207,Detox (Licuado),Desayuno y merienda,1,7600,,0,7600
LP-260811-S02,S,2026-08-11,8,Desayuno,Martes,Retiro en local,1012,Panini de Lomo,Sándwiches,1,16800,,0,16800
LP-260812-001,R,2026-08-12,19,Merienda,Miércoles,Delivery,0811,Pollo Grille,Carnes y pescados,1,18500,Corte: Pechuga + Guarnición: Puré de calabaza,0,18500
LP-260812-002,R,2026-08-12,20,Cena,Miércoles,Delivery,0401,Empanada de Carne Suave,Empanadas,13,3800,,0,49400
LP-260812-002,R,2026-08-12,20,Cena,Miércoles,Delivery,0501,Pizza Mozzarella,Pizzas artesanales,1,22600,Tamaño: 8 porciones,5400,28000
LP-260812-003,R,2026-08-12,1,Madrugada,Miércoles,Delivery,0402,Empanada de Carne Picante,Empanadas,2,3800,,0,7600
LP-260812-003,R,2026-08-12,1,Madrugada,Miércoles,Delivery,0401,Empanada de Carne Suave,Empanadas,4,3800,,0,15200
LP-260812-004,R,2026-08-12,2,Madrugada,Miércoles,Delivery,0502,Pizza Napolitana,Pizzas artesanales,1,27200,Tamaño: 8 porciones,8200,35400
LP-260812-004,R,2026-08-12,2,Madrugada,Miércoles,Delivery,0401,Empanada de Carne Suave,Empanadas,2,3800,,0,7600
LP-260812-S01,S,2026-08-12,20,Cena,Miércoles,Delivery,0705,Ravioles de Verdura,Pastas,1,14400,Salsa: Funghi,6200,20600
LP-260812-S01,S,2026-08-12,20,Cena,Miércoles,Delivery,1701,Jugo de Naranja,Bebidas,1,5400,Tamaño: Normal,0,5400
LP-260812-S02,S,2026-08-12,23,Cena,Miércoles,Delivery,0404,Empanada de Jamón y Queso,Empanadas,3,3400,,0,10200
LP-260812-S02,S,2026-08-12,23,Cena,Miércoles,Delivery,0710,Spaguetti,Pastas,1,13400,Salsa: Bolognesa,7600,21000
LP-260812-S02,S,2026-08-12,23,Cena,Miércoles,Delivery,1811,Chandon Extra Brut,Vinos y cervezas,2,9800,Tamaño: 187cc,0,19600
LP-260812-S02,S,2026-08-12,23,Cena,Miércoles,Delivery,1810,Chandon Baron B. Extra Brut (750cc),Vinos y cervezas,1,58000,,0,58000
LP-260813-001,R,2026-08-13,18,Merienda,Jueves,Delivery,0811,Pollo Grille,Carnes y pescados,1,18500,Corte: Pechuga + Guarnición: Puré de calabaza,0,18500
LP-260813-002,R,2026-08-13,1,Madrugada,Jueves,Delivery,0804,Milanesa de Ternera,Carnes y pescados,2,21000,Guarnición: Papas fritas,0,42000
LP-260813-002,R,2026-08-13,1,Madrugada,Jueves,Delivery,0217,Mozzarella Marinara,Entradas,1,13900,,0,13900
LP-260813-003,R,2026-08-13,2,Madrugada,Jueves,Delivery,0205,Romana Rabas (con salsa Provenzal),Entradas,1,18500,,0,18500
LP-260813-003,R,2026-08-13,2,Madrugada,Jueves,Delivery,0805,Lomo a la Pimienta Negra,Carnes y pescados,1,28500,Guarnición: Puré de papa,0,28500
LP-260813-003,R,2026-08-13,2,Madrugada,Jueves,Delivery,1114,Caesar con Pollo,Ensaladas,1,17100,,0,17100
LP-260813-003,R,2026-08-13,2,Madrugada,Jueves,Delivery,0219,Omelette Especial,Entradas,1,14500,,0,14500
LP-260813-004,R,2026-08-13,3,Madrugada,Jueves,Delivery,0716,Spaghetti integral (de espinaca),Pastas,1,13400,Salsa: Carbonara,8200,21600
LP-260813-S01,S,2026-08-13,13,Almuerzo,Jueves,Retiro en local,0809,Ojo de Bife,Carnes y pescados,1,28500,Guarnición: Ensalada básica,0,28500
LP-260813-S01,S,2026-08-13,13,Almuerzo,Jueves,Retiro en local,0704,Ravioles de Ricotta,Pastas,1,14400,Salsa: Parisien,8200,22600
LP-260813-S01,S,2026-08-13,13,Almuerzo,Jueves,Retiro en local,1014,Panini Pollo,Sándwiches,1,14600,,0,14600
LP-260813-S01,S,2026-08-13,13,Almuerzo,Jueves,Retiro en local,1710,Sprite,Bebidas,1,4200,,0,4200
LP-260813-S02,S,2026-08-13,10,Desayuno,Jueves,Delivery,1317,Medialuna de jamón y queso,Panadería y dulces,1,5600,,0,5600
LP-260813-S02,S,2026-08-13,10,Desayuno,Jueves,Delivery,1207,Detox (Licuado),Desayuno y merienda,1,7600,,0,7600
LP-260814-001,R,2026-08-14,2,Madrugada,Viernes,Retiro en local,0804,Milanesa de Ternera,Carnes y pescados,1,21000,"¿A la napolitana?: Sí, napolitana + Guarnición: Puré de papa",600,21600
LP-260814-001,R,2026-08-14,2,Madrugada,Viernes,Retiro en local,0813,Pollo al Verdeo,Carnes y pescados,2,23000,Corte: Pechuga + Guarnición: Arroz,0,46000
LP-260814-002,R,2026-08-14,2,Madrugada,Viernes,Delivery,0401,Empanada de Carne Suave,Empanadas,4,3800,,0,15200
LP-260814-002,R,2026-08-14,2,Madrugada,Viernes,Delivery,0405,Empanada de Verdura,Empanadas,1,3400,,0,3400
LP-260814-002,R,2026-08-14,2,Madrugada,Viernes,Delivery,0404,Empanada de Jamón y Queso,Empanadas,6,3400,,0,20400
LP-260814-002,R,2026-08-14,2,Madrugada,Viernes,Delivery,0403,Empanada de Pollo,Empanadas,2,3500,,0,7000
LP-260814-S01,S,2026-08-14,19,Merienda,Viernes,Delivery,1403,"Brownie, Dulce de Leche y Merengue",Tortas,1,9000,,0,9000
LP-260814-S02,S,2026-08-14,22,Cena,Viernes,Retiro en local,0404,Empanada de Jamón y Queso,Empanadas,3,3400,,0,10200
LP-260814-S03,S,2026-08-14,12,Almuerzo,Viernes,Retiro en local,0901,Classic-Burger,Hamburguesas,2,16800,Formato: Con pan clásico,0,33600
LP-260814-S03,S,2026-08-14,12,Almuerzo,Viernes,Retiro en local,0805,Lomo a la Pimienta Negra,Carnes y pescados,1,28500,Guarnición: Puré de papa,0,28500
LP-260814-S03,S,2026-08-14,12,Almuerzo,Viernes,Retiro en local,1012,Panini de Lomo,Sándwiches,1,16800,,0,16800
LP-260814-S04,S,2026-08-14,22,Cena,Viernes,Retiro en local,1807,Uxmal Extra Brut - Bodega Uxmal,Vinos y cervezas,1,25000,,0,25000
LP-260815-001,R,2026-08-15,18,Merienda,Sábado,Delivery,0222,Tortilla de papa,Entradas,1,14500,,0,14500
LP-260815-002,R,2026-08-15,4,Madrugada,Sábado,Retiro en local,0519,Pizza Jamón y morrones,Pizzas artesanales,1,27600,Tamaño: 4 porciones,0,27600
LP-260815-S01,S,2026-08-15,23,Cena,Sábado,Retiro en local,0704,Ravioles de Ricotta,Pastas,1,14400,Salsa: Putanesca,7800,22200
LP-260815-S01,S,2026-08-15,23,Cena,Sábado,Retiro en local,0407,Empanada de Choclo,Empanadas,6,3400,,0,20400
LP-260815-S01,S,2026-08-15,23,Cena,Sábado,Retiro en local,0709,Tagliatelle de espinaca,Pastas,1,13400,Salsa: Frutos del Mar,13500,26900
LP-260815-S02,S,2026-08-15,23,Cena,Sábado,Delivery,0405,Empanada de Verdura,Empanadas,12,3400,,0,40800
LP-260815-S02,S,2026-08-15,23,Cena,Sábado,Delivery,0816,Merluza,Carnes y pescados,2,22000,,0,44000
LP-260815-S03,S,2026-08-15,20,Cena,Sábado,Retiro en local,0208,Papas Bravas o Tranquilas (Cheddar fundido),Entradas,1,13900,Versión: Tranquilas,0,13900
LP-260815-S03,S,2026-08-15,20,Cena,Sábado,Retiro en local,0211,Huevos x 2 (fritos o duros),Entradas,1,10400,Preparación: Fritos,0,10400
LP-260815-S03,S,2026-08-15,20,Cena,Sábado,Retiro en local,1720,Licuado Multifruta,Bebidas,1,7500,,0,7500
LP-260815-S04,S,2026-08-15,22,Cena,Sábado,Delivery,0541,Mediterránea,Pizzas artesanales,2,32900,Tamaño: 6 porciones,0,65800
LP-260815-S04,S,2026-08-15,22,Cena,Sábado,Delivery,1706,Agua Saborizada We by Ser,Bebidas,1,3500,,0,3500
LP-260815-S05,S,2026-08-15,10,Desayuno,Sábado,Delivery,1617,Capuchino doble,Cafetería,1,6200,,0,6200
LP-260815-S05,S,2026-08-15,10,Desayuno,Sábado,Delivery,1332,Tostadas Pan Sin Gluten c/ Dulce de Leche,Panadería y dulces,1,6200,,0,6200
LP-260816-S01,S,2026-08-16,17,Merienda,Domingo,Delivery,1512,Frutillas con Crema,Hora dulce,1,10200,,0,10200
LP-260816-S01,S,2026-08-16,17,Merienda,Domingo,Delivery,1623,Carajillo,Cafetería,1,6600,,0,6600
LP-260816-S02,S,2026-08-16,22,Cena,Domingo,Retiro en local,0508,Pizza Veneciana,Pizzas artesanales,1,32800,Tamaño: 8 porciones,4700,37500
LP-260816-S02,S,2026-08-16,22,Cena,Domingo,Retiro en local,1718,Jugo Natural Grande Naranja,Bebidas,1,7300,,0,7300
LP-260817-001,R,2026-08-17,19,Merienda,Lunes,Delivery,0702,Gnocchi,Pastas,1,13600,Salsa: Crema,6100,19700
LP-260817-002,R,2026-08-17,2,Madrugada,Lunes,Delivery,0811,Pollo Grille,Carnes y pescados,2,18500,Corte: Pechuga + Guarnición: Arroz,0,37000
LP-260817-003,R,2026-08-17,2,Madrugada,Lunes,Delivery,0811,Pollo Grille,Carnes y pescados,2,18500,Corte: Pechuga + Guarnición: Papas fritas,0,37000
LP-260817-S01,S,2026-08-17,11,Desayuno,Lunes,Retiro en local,1005,Sándwich de Pan de Molde de Jamón Cocido,Sándwiches,2,9800,Pan: Blanco,0,19600
LP-260817-S02,S,2026-08-17,16,Merienda,Lunes,Delivery,1506,Crepe de Dulce de Leche (con o sin),Hora dulce,1,10200,,0,10200
LP-260818-001,R,2026-08-18,19,Merienda,Martes,Delivery,0804,Milanesa de Ternera,Carnes y pescados,1,21000,Guarnición: Puré de calabaza,0,21000
LP-260818-002,R,2026-08-18,3,Madrugada,Martes,Delivery,0507,Pizza Cuatro quesos,Pizzas artesanales,1,33000,Tamaño: 8 porciones,4800,37800
LP-260818-002,R,2026-08-18,3,Madrugada,Martes,Delivery,0401,Empanada de Carne Suave,Empanadas,2,3800,,0,7600
LP-260818-S01,S,2026-08-18,9,Desayuno,Martes,Delivery,1633,Peach Ice Tea,Cafetería,1,6600,,0,6600
LP-260819-001,R,2026-08-19,20,Cena,Miércoles,Delivery,0804,Milanesa de Ternera,Carnes y pescados,1,21000,Guarnición: Puré de calabaza,0,21000
LP-260819-S01,S,2026-08-19,9,Desayuno,Miércoles,Retiro en local,1626,Le France,Cafetería,1,6600,,0,6600
LP-260819-S02,S,2026-08-19,12,Almuerzo,Miércoles,Delivery,0904,Veggie-Burger,Hamburguesas,2,16800,Formato: Al plato,0,33600
LP-260819-S02,S,2026-08-19,12,Almuerzo,Miércoles,Delivery,1710,Sprite,Bebidas,2,4200,,0,8400
LP-260819-S03,S,2026-08-19,18,Merienda,Miércoles,Retiro en local,1629,Café Latte,Cafetería,1,6600,,0,6600
LP-260819-S04,S,2026-08-19,21,Cena,Miércoles,Delivery,0506,Pizza Roquefort,Pizzas artesanales,2,32800,Tamaño: 6 porciones,0,65600
LP-260819-S05,S,2026-08-19,14,Almuerzo,Miércoles,Delivery,0707,Sorrentino (Salmón),Pastas,3,17100,Salsa: Scarparo,23100,74400
LP-260819-S05,S,2026-08-19,14,Almuerzo,Miércoles,Delivery,0710,Spaguetti,Pastas,2,13400,Salsa: Crema de Puerros,12400,39200
LP-260819-S05,S,2026-08-19,14,Almuerzo,Miércoles,Delivery,0806,American Ribbs,Carnes y pescados,1,26800,Guarnición: Puré de papa,0,26800
LP-260819-S05,S,2026-08-19,14,Almuerzo,Miércoles,Delivery,0410,Empanada de Atún,Empanadas,12,4000,,0,48000
LP-260820-001,R,2026-08-20,20,Cena,Jueves,Delivery,0404,Empanada de Jamón y Queso,Empanadas,6,3400,,0,20400
LP-260820-001,R,2026-08-20,20,Cena,Jueves,Delivery,0401,Empanada de Carne Suave,Empanadas,12,3800,,0,45600
LP-260820-002,R,2026-08-20,2,Madrugada,Jueves,Delivery,0811,Pollo Grille,Carnes y pescados,1,18500,Corte: Pechuga + Guarnición: Papas fritas,0,18500
LP-260820-003,R,2026-08-20,3,Madrugada,Jueves,Delivery,0701,Tallarín casero,Pastas,1,13600,Salsa: Parisien,8200,21800
LP-260820-003,R,2026-08-20,3,Madrugada,Jueves,Delivery,1114,Caesar con Pollo,Ensaladas,1,17100,,0,17100
LP-260820-S01,S,2026-08-20,10,Desayuno,Jueves,Retiro en local,1209,Deportivo,Desayuno y merienda,2,12400,,0,24800
LP-260820-S02,S,2026-08-20,21,Cena,Jueves,Delivery,0219,Omelette Especial,Entradas,1,14500,,0,14500
LP-260820-S02,S,2026-08-20,21,Cena,Jueves,Delivery,0210,Papa Puré,Entradas,1,10500,,0,10500
LP-260820-S02,S,2026-08-20,21,Cena,Jueves,Delivery,0527,Pizza Rúcula y Brie,Pizzas artesanales,1,34600,Tamaño: 8 porciones,4800,39400
LP-260820-S02,S,2026-08-20,21,Cena,Jueves,Delivery,0605,Calzón Italiano (grande),Calzones,1,40500,,0,40500
LP-260821-S01,S,2026-08-21,22,Cena,Viernes,Delivery,1844,Trumpeter Cabernet Sauvignon,Vinos y cervezas,2,21500,,0,43000
LP-260821-S01,S,2026-08-21,22,Cena,Viernes,Delivery,0208,Papas Bravas o Tranquilas (Cheddar fundido),Entradas,1,13900,Versión: Bravas,0,13900
LP-260821-S02,S,2026-08-21,21,Cena,Viernes,Delivery,0603,Calzón Percanta (pequeño),Calzones,1,36500,,0,36500
LP-260821-S02,S,2026-08-21,21,Cena,Viernes,Delivery,1834,Nicasia Malbec,Vinos y cervezas,2,27000,,0,54000
LP-260821-S03,S,2026-08-21,13,Almuerzo,Viernes,Delivery,0902,Mex-Burger,Hamburguesas,1,17200,Formato: Pan Sin Gluten,0,17200
LP-260821-S03,S,2026-08-21,13,Almuerzo,Viernes,Delivery,1715,Jugo Natural Chico Naranja / Limón,Bebidas,1,5400,,0,5400
LP-260821-S04,S,2026-08-21,14,Almuerzo,Viernes,Delivery,1711,Sprite Zero,Bebidas,3,4200,,0,12600
LP-260821-S04,S,2026-08-21,14,Almuerzo,Viernes,Delivery,1718,Jugo Natural Grande Naranja,Bebidas,1,7300,,0,7300
LP-260822-001,R,2026-08-22,20,Cena,Sábado,Retiro en local,0401,Empanada de Carne Suave,Empanadas,1,3800,,0,3800
LP-260822-002,R,2026-08-22,2,Madrugada,Sábado,Retiro en local,0502,Pizza Napolitana,Pizzas artesanales,1,27200,Tamaño: 8 porciones,8200,35400
LP-260822-002,R,2026-08-22,2,Madrugada,Sábado,Retiro en local,0401,Empanada de Carne Suave,Empanadas,1,3800,,0,3800
LP-260822-003,R,2026-08-22,3,Madrugada,Sábado,Retiro en local,0811,Pollo Grille,Carnes y pescados,1,18500,Corte: Pechuga + Guarnición: Puré de calabaza,0,18500
LP-260822-003,R,2026-08-22,3,Madrugada,Sábado,Retiro en local,0813,Pollo al Verdeo,Carnes y pescados,1,23000,Corte: Pechuga + Guarnición: Arroz,0,23000
LP-260822-S01,S,2026-08-22,13,Almuerzo,Sábado,Delivery,1711,Sprite Zero,Bebidas,1,4200,,0,4200
LP-260822-S01,S,2026-08-22,13,Almuerzo,Sábado,Delivery,1013,Panini Vegetales,Sándwiches,1,11000,,0,11000
LP-260822-S02,S,2026-08-22,22,Cena,Sábado,Delivery,0402,Empanada de Carne Picante,Empanadas,12,3800,,0,45600
LP-260822-S03,S,2026-08-22,18,Merienda,Sábado,Retiro en local,1601,Café Macchiatto,Cafetería,1,3500,,0,3500
LP-260822-S03,S,2026-08-22,18,Merienda,Sábado,Retiro en local,1205,Casual,Desayuno y merienda,1,7600,,0,7600
LP-260823-001,R,2026-08-23,2,Madrugada,Domingo,Delivery,0224,Fainá (porción),Entradas,1,3300,,0,3300
LP-260823-001,R,2026-08-23,2,Madrugada,Domingo,Delivery,0501,Pizza Mozzarella,Pizzas artesanales,1,22600,Tamaño: 8 porciones,5400,28000
LP-260823-S01,S,2026-08-23,14,Almuerzo,Domingo,Delivery,0815,Salmón Rosado,Carnes y pescados,1,32400,,0,32400
LP-260823-S01,S,2026-08-23,14,Almuerzo,Domingo,Delivery,1009,Panini Caprese,Sándwiches,1,11000,,0,11000
LP-260823-S01,S,2026-08-23,14,Almuerzo,Domingo,Delivery,1706,Agua Saborizada We by Ser,Bebidas,2,3500,,0,7000
LP-260823-S01,S,2026-08-23,14,Almuerzo,Domingo,Delivery,0807,Bife de Chorizo,Carnes y pescados,1,26000,Guarnición: Puré de calabaza,0,26000
LP-260823-S02,S,2026-08-23,20,Cena,Domingo,Delivery,0605,Calzón Italiano (grande),Calzones,1,40500,,0,40500
